iter	Passed	Remaining
1060	9044	76190
1061	9053	76183
1062	9069	76238
1063	9079	76243
1064	9086	76220
1065	9092	76195
1066	9101	76191
1067	9111	76195
1068	9118	76170
1069	9127	76167
1070	9137	76173
1071	9147	76172
1072	9156	76170
1073	9164	76155
1074	9171	76138
1075	9186	76183
1076	9203	76238
1077	9212	76242
1078	9227	76283
1079	9236	76278
1080	9249	76308
1081	9260	76316
1082	9274	76351
1083	9285	76366
1084	9298	76391
1085	9312	76427
1086	9327	76473
1087	9337	76472
1088	9346	76468
1089	9357	76484
1090	9366	76480
1091	9376	76481
1092	9384	76469
1093	9396	76485
1094	9405	76484
1095	9415	76484
1096	9425	76486
1097	9433	76474
1098	9441	76458
1099	9449	76447
1100	9457	76433
1101	9466	76429
1102	9475	76424
1103	9482	76405
1104	9490	76391
1105	9498	76376
1106	9507	76369
1107	9515	76359
1108	9525	76356
1109	9532	76341
1110	9539	76319
1111	9547	76302
1112	9554	76283
1113	9562	76269
1114	9570	76258
1115	9579	76252
1116	9586	76230
1117	9593	76211
1118	9602	76200
1119	9608	76174
1120	9616	76160
1121	9624	76149
1122	9635	76158
1123	9642	76135
1124	9650	76123
1125	9658	76112
1126	9668	76111
1127	9676	76095
1128	9681	76066
1129	9690	76055
1130	9699	76056
1131	9708	76044
1132	9716	76036
1133	9725	76026
1134	9733	76018
1135	9741	76001
1136	9750	75995
1137	9758	75985
1138	9767	75976
1139	9775	75966
1140	9783	75956
1141	9792	75946
1142	9801	75945
1143	9809	75932
1144	9816	75908
1145	9824	75897
1146	9833	75890
1147	9841	75879
1148	9850	75871
1149	9858	75861
1150	9871	75883
1151	9880	75877
1152	9893	75905
1153	9905	75920
1154	9937	76094
1155	9950	76118
1156	9973	76215
1157	9983	76224
1158	9992	76218
1159	10000	76205
1160	10008	76185
1161	10017	76180
1162	10024	76160
1163	10031	76142
1164	10038	76120
1165	10046	76105
1166	10053	76084
1167	10059	76056
1168	10065	76031
1169	10072	76007
1170	10080	75993
1171	10088	75981
1172	10094	75955
1173	10105	75961
1174	10114	75957
1175	10122	75946
1176	10132	75944
1177	10138	75921
1178	10145	75894
1179	10153	75886
1180	10162	75882
1181	10171	75870
1182	10179	75858
1183	10186	75838
1184	10194	75828
1185	10202	75816
1186	10211	75804
1187	10220	75798
1188	10229	75795
1189	10238	75787
1190	10246	75780
1191	10254	75767
1192	10263	75756
1193	10270	75737
1194	10282	75758
1195	10291	75750
1196	10300	75741
1197	10308	75728
1198	10316	75714
1199	10326	75720
1200	10336	75720
1201	10344	75704
1202	10352	75691
1203	10360	75683
1204	10367	75660
1205	10373	75637
1206	10381	75621
1207	10388	75598
1208	10396	75588
1209	10404	75575
1210	10413	75568
1211	10421	75556
1212	10430	75550
1213	10441	75559
1214	10453	75575
1215	10459	75550
1216	10468	75543
1217	10475	75518
1218	10483	75506
1219	10493	75506
1220	10501	75495
1221	10509	75483
1222	10516	75466
1223	10525	75457
1224	10534	75452
1225	10542	75437
1226	10549	75418
1227	10558	75416
1228	10566	75402
1229	10577	75406
1230	10585	75393
1231	10592	75376
1232	10601	75371
1233	10641	75582
1234	10655	75616
1235	10663	75598
1236	10673	75604
1237	10683	75605
1238	10691	75593
1239	10701	75589
1240	10710	75583
1241	10720	75586
1242	10728	75576
1243	10735	75556
1244	10743	75544
1245	10749	75516
1246	10759	75511
1247	10766	75495
1248	10775	75490
1249	10784	75482
1250	10792	75472
1251	10803	75478
1252	10811	75466
1253	10822	75475
1254	10828	75446
1255	10836	75432
1256	10845	75424
1257	10853	75411
1258	10861	75402
1259	10870	75394
1260	10879	75385
1261	10889	75389
1262	10895	75362
1263	10902	75341
1264	10909	75324
1265	10917	75308
1266	10925	75298
1267	10934	75289
1268	10943	75285
1269	10952	75282
1270	10961	75273
1271	10969	75261
1272	10979	75259
1273	10990	75266
1274	10998	75253
1275	11006	75242
1276	11015	75234
1277	11023	75224
1278	11031	75211
1279	11042	75221
1280	11050	75208
1281	11060	75206
1282	11069	75196
1283	11077	75186
1284	11086	75183
1285	11096	75184
1286	11105	75173
